transaction_date,product_id,product_category,product_type,product_detail,store_id,store_location,total_qty_sold,avg_unit_price,total_sales_value,cost_of_sales,gross_profit,gross_profit_pct
2023-01-01,42,Tea,Brewed herbal tea,Lemon Grass Rg,8,Hell's Kitchen,6,2.5,15,9,6,40
2023-01-01,46,Tea,Brewed Green tea,Serenity Green Tea Rg,8,Hell's Kitchen,5,2.5,12.5,7.5,5,40
2023-01-01,34,Coffee,Premium brewed coffee,Jamaican Coffee River Sm,5,Lower Manhattan,5,2.45,12.25,7.35,4.9,40
2023-01-01,25,Coffee,Organic brewed coffee,Brazilian Sm,3,Astoria,5,2.2,11,6.6,4.4,40
2023-01-01,35,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,3,Astoria,9,3.1,27.9,16.74,11.16,40
2023-01-01,28,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,3,Astoria,10,2,20,12,8,40
2023-01-01,53,Tea,Brewed Chai tea,Traditional Blend Chai Lg,3,Astoria,2,3,6,3.6,2.4,40
2023-01-01,32,Coffee,Gourmet brewed coffee,Ethiopia Rg,3,Astoria,6,3,18,10.8,7.2,40
2023-01-01,75,Bakery,Pastry,Croissant,8,Hell's Kitchen,2,3.5,7,4.2,2.8,40
2023-01-01,48,Tea,Brewed Black tea,English Breakfast Rg,8,Hell's Kitchen,5,2.5,12.5,7.5,5,40
2023-01-01,28,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,8,Hell's Kitchen,2,2,4,2.4,1.6,40
2023-01-02,51,Tea,Brewed Black tea,Earl Grey Lg,5,Lower Manhattan,6,3,18,10.8,7.2,40
2023-01-02,79,Bakery,Scone,Jumbo Savory Scone,8,Hell's Kitchen,2,3.75,7.5,4.5,3,40
2023-01-02,77,Bakery,Scone,Oatmeal Scone,3,Astoria,4,3,12,7.2,4.8,40
2023-01-02,42,Tea,Brewed herbal tea,Lemon Grass Rg,3,Astoria,4,2.5,10,6,4,40
2023-01-02,49,Tea,Brewed Black tea,English Breakfast Lg,8,Hell's Kitchen,5,3,15,9,6,40
2023-01-02,39,Coffee,Barista Espresso,Latte Rg,3,Astoria,10,4.25,42.5,25.5,17,40
2023-01-02,24,Coffee,Drip coffee,Our Old Time Diner Blend Lg,8,Hell's Kitchen,1,3,3,1.8,1.2,40
2023-01-03,52,Tea,Brewed Chai tea,Traditional Blend Chai Rg,5,Lower Manhattan,1,2.5,2.5,1.5,1,40
2023-01-03,60,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,3,Astoria,7,3.75,26.25,15.75,10.5,40
2023-01-03,55,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,3,Astoria,8,4,32,19.2,12.8,40
2023-01-03,34,Coffee,Premium brewed coffee,Jamaican Coffee River Sm,3,Astoria,6,2.45,14.7,8.82,5.88,40
2023-01-03,56,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,3,Astoria,3,2.55,7.65,4.59,3.06,40
2023-01-03,53,Tea,Brewed Chai tea,Traditional Blend Chai Lg,3,Astoria,5,3,15,9,6,40
2023-01-03,77,Bakery,Scone,Oatmeal Scone,8,Hell's Kitchen,2,3,6,3.6,2.4,40
2023-01-04,22,Coffee,Drip coffee,Our Old Time Diner Blend Sm,5,Lower Manhattan,9,2,18,10.8,7.2,40
